,Title,Abstract,Journal,Language,Year,Month,Completion Date,Edit Date,Authors,First Author Affiliation,url,ImpactFactor
0,Beyond Genome-Wide Scans: Advancing Hypertension Genomics Into the Future.,No Abstract,"Hypertension (Dallas, Tex. : 1979)",eng,2024,Jun,2024-05-15,2024-05-15,"Sandosh Padmanabhan, Christian Delles, Anna F Dominiczak","School of Cardiovascular and Metabolic Health, University of Glasgow, United Kingdom.",https://pubmed.ncbi.nlm.nih.gov/38748763/,5.0
1,"Genetic diversity, phylogeography, and maternal origin of yak (Bos grunniens).","There is no consensus as to the origin of the domestic yak (Bos grunniens). Previous studies on yak mitochondria mainly focused on mitochondrial displacement loop (D-loop), a region with low phylogenetic resolution. Here, we analyzed the entire mitochondrial genomes of 509 yaks to obtain greater phylogenetic resolution and a comprehensive picture of geographical diversity. A total of 278 haplotypes were defined in 509 yaks from 21 yak breeds. Among them, 28 haplotypes were shared by different varieties, and 250 haplotypes were unique to specific varieties. The overall haplotype diversity and nucleotide diversity of yak were 0.979 ± 0.0039 and 0.00237 ± 0.00076, respectively. Phylogenetic tree and network analysis showed that yak had three highly differentiated genetic branches with high support rate. The differentiation time of clades I and II were about 0.4328 Ma, and the differentiation time of clades (I and II) and III were 0.5654 Ma. Yushu yak is shared by all haplogroups. Most (94.70%) of the genetic variation occurred within populations, and only 5.30% of the genetic variation occurred between populations. The classification showed that yaks and wild yaks were first clustered together, and yaks were clustered with American bison as a whole. Altitude had the highest impact on the distribution of yaks. Yaks have high genetic diversity and yak populations have experienced population expansion and lack obvious phylogeographic structure. During the glacial period, yaks had at least three or more glacial refugia.",Bmc Genomics,eng,2024,May,2024-05-16,2024-05-15,"Xingdong Wang, Jie Pei, Lin Xiong, Pengjia Bao, Min Chu, Xiaoming Ma, Yongfu La, Chunnian Liang, Ping Yan, Xian Guo","Key Laboratory of Yak Breeding in Gansu Province, Lanzhou Institute of Husbandry and Pharmaceutical Sciences, Chinese Academy of Agricultural Sciences, Lanzhou, 730050, P.R. China.",https://pubmed.ncbi.nlm.nih.gov/38750421/,189.0
2,Aberrant CHCHD2-associated mitochondriopathy in Kii ALS/PDC astrocytes.,"Amyotrophic Lateral Sclerosis/Parkinsonism-Dementia Complex (ALS/PDC), a rare and complex neurological disorder, is predominantly observed in the Western Pacific islands, including regions of Japan, Guam, and Papua. This enigmatic condition continues to capture medical attention due to affected patients displaying symptoms that parallel those seen in either classical amyotrophic lateral sclerosis (ALS) or Parkinson's disease (PD). Distinctly, postmortem examinations of the brains of affected individuals have shown the presence of α-synuclein aggregates and TDP-43, which are hallmarks of PD and classical ALS, respectively. These observations are further complicated by the detection of phosphorylated tau, accentuating the multifaceted proteinopathic nature of ALS/PDC. The etiological foundations of this disease remain undetermined, and genetic investigations have yet to provide conclusive answers. However, emerging evidence has implicated the contribution of astrocytes, pivotal cells for maintaining brain health, to neurodegenerative onset, and likely to play a significant role in the pathogenesis of ALS/PDC. Leveraging advanced induced pluripotent stem cell technology, our team cultivated multiple astrocyte lines to further investigate the Japanese variant of ALS/PDC (Kii ALS/PDC). CHCHD2 emerged as a significantly dysregulated gene when disease astrocytes were compared to healthy controls. Our analyses also revealed imbalances in the activation of specific pathways: those associated with astrocytic cilium dysfunction, known to be involved in neurodegeneration, and those related to major neurological disorders, including classical ALS and PD. Further in-depth examinations revealed abnormalities in the mitochondrial morphology and metabolic processes of the affected astrocytes. A particularly striking observation was the reduced expression of CHCHD2 in the spinal cord, motor cortex, and oculomotor nuclei of patients with Kii ALS/PDC. In summary, our findings suggest a potential reduction in the support Kii ALS/PDC astrocytes provide to neurons, emphasizing the need to explore the role of CHCHD2 in maintaining mitochondrial health and its implications for the disease.",Acta Neuropathologica,eng,2024,May,2024-05-15,2024-05-15,"Nicolas Leventoux, Satoru Morimoto, Mitsuru Ishikawa, Shiho Nakamura, Fumiko Ozawa, Reona Kobayashi, Hirotaka Watanabe, Sopak Supakul, Satoshi Okamoto, Zhi Zhou, Hiroya Kobayashi, Chris Kato, Yoshifumi Hirokawa, Ikuko Aiba, Shinichi Takahashi, Shinsuke Shibata, Masaki Takao, Mari Yoshida, Fumito Endo, Koji Yamanaka, Yasumasa Kokubo, Hideyuki Okano","Department of Physiology, Keio University School of Medicine, Tokyo, Japan.",https://pubmed.ncbi.nlm.nih.gov/38750212/,200.0
3,Ironing out the role of ferroptosis in immunity.,"Ferroptosis is a type of regulated cell death that drives the pathophysiology of many diseases. Oxidative stress is detectable in many types of regulated cell death, but only ferroptosis involves lipid peroxidation and iron dependency. Ferroptosis originates and propagates from several organelles, including the mitochondria, endoplasmic reticulum, Golgi, and lysosomes. Recent data have revealed that immune cells can both induce and undergo ferroptosis. A mechanistic understanding of how ferroptosis regulates immunity is critical to understanding how ferroptosis controls immune responses and how this is dysregulated in disease. Translationally, more work is needed to produce ferroptosis-modulating immunotherapeutics. This review focuses on the role of ferroptosis in immune-related diseases, including infection, autoimmune diseases, and cancer. We discuss how ferroptosis is regulated in immunity, how this regulation contributes to disease pathogenesis, and how targeting ferroptosis may lead to novel therapies.",Immunity,eng,2024,May,2024-05-15,2024-05-15,"Hannah N Bell, Brent R Stockwell, Weiping Zou","Department of Surgery, University of Michigan School of Medicine, Ann Arbor, MI, USA; Center of Excellence for Cancer Immunology and Immunotherapy, University of Michigan School of Medicine, Rogel Cancer Center, Ann Arbor, MI, USA; Graduate Program in Cancer Biology, University of Michigan, Ann Arbor, MI, USA; Graduate Program in Immunology, University of Michigan, Ann Arbor, MI, USA. Electronic address: habell@umich.edu.",https://pubmed.ncbi.nlm.nih.gov/38749397/,436.0
4,N-MYC impairs innate immune signaling in high-grade serous ovarian carcinoma.,"High-grade serous ovarian cancer (HGSC) is a challenging disease, especially for patients with immunologically ""cold"" tumors devoid of tumor-infiltrating lymphocytes (TILs). We found that HGSC exhibits among the highest levels of <i>MYCN</i> expression and transcriptional signature across human cancers, which is strongly linked to diminished features of antitumor immunity. N-MYC repressed basal and induced IFN type I signaling in HGSC cell lines, leading to decreased chemokine expression and T cell chemoattraction. N-MYC inhibited the induction of IFN type I by suppressing tumor cell-intrinsic STING signaling via reduced STING oligomerization, and by blunting RIG-I-like receptor signaling through inhibition of MAVS aggregation and localization in the mitochondria. Single-cell RNA sequencing of human clinical HGSC samples revealed a strong negative association between cancer cell-intrinsic <i>MYCN</i> transcriptional program and type I IFN signaling. Thus, N-MYC inhibits tumor cell-intrinsic innate immune signaling in HGSC, making it a compelling target for immunotherapy of cold tumors.",Science Advances,eng,2024,May,2024-05-15,2024-05-15,"Alex Miranda, Swetansu Pattnaik, Phineas T Hamilton, Monica Alvaro Fuss, Shreena Kalaria, Céline M Laumont, Julian Smazynski, Monica Mesa, Allyson Banville, Xinpei Jiang, Russell Jenkins, Israel Cañadas, Brad H Nelson","Deeley Research Centre, BC Cancer, Victoria, BC V8R 6V5, Canada.",https://pubmed.ncbi.nlm.nih.gov/38748789/,214.0
5,Bacteria-organelle communication in physiology and disease.,"Bacteria, omnipresent in our environment and coexisting within our body, exert dual beneficial and pathogenic influences. These microorganisms engage in intricate interactions with the human body, impacting both human health and disease. Simultaneously, certain organelles within our cells share an evolutionary relationship with bacteria, particularly mitochondria, best known for their energy production role and their dynamic interaction with each other and other organelles. In recent years, communication between bacteria and mitochondria has emerged as a new mechanism for regulating the host's physiology and pathology. In this review, we delve into the dynamic communications between bacteria and host mitochondria, shedding light on their collaborative regulation of host immune response, metabolism, aging, and longevity. Additionally, we discuss bacterial interactions with other organelles, including chloroplasts, lysosomes, and the endoplasmic reticulum (ER).",The Journal Of Cell Biology,eng,2024,Jul,2024-05-15,2024-05-15,"Yi-Tang Lee, Mumine Senturk, Youchen Guan, Meng C Wang","Waisman Center, University of Wisconsin, Madison, WI, USA.",https://pubmed.ncbi.nlm.nih.gov/38748249/,5.0
6,FMNL2 regulates actin for endoplasmic reticulum and mitochondria distribution in oocyte meiosis.,"During mammalian oocyte meiosis, spindle migration and asymmetric cytokinesis are unique steps for the successful polar body extrusion. The asymmetry defects of oocytes will lead to the failure of fertilization and embryo implantation. In present study, we reported that an actin nucleating factor Formin-like 2 (FMNL2) played critical roles in the regulation of spindle migration and organelle distribution in mouse and porcine oocytes. Our results showed that FMNL2 mainly localized at the oocyte cortex and periphery of spindle. Depletion of FMNL2 led to the failure of polar body extrusion and large polar bodies in oocytes. Live-cell imaging revealed that the spindle failed to migrate to the oocyte cortex, which caused polar body formation defects, and this might be due to the decreased polymerization of cytoplasmic actin by FMNL2 depletion in the oocytes of both mice and pigs. Furthermore, mass spectrometry analysis indicated that FMNL2 was associated with mitochondria and endoplasmic reticulum (ER)-related proteins, and FMNL2 depletion disrupted the function and distribution of mitochondria and ER, showing with decreased mitochondrial membrane potential and the occurrence of ER stress. Microinjecting <i>Fmnl2-EGFP</i> mRNA into FMNL2-depleted oocytes significantly rescued these defects. Thus, our results indicate that FMNL2 is essential for the actin assembly, which further involves into meiotic spindle migration and ER/mitochondria functions in mammalian oocytes.",Elife,eng,2024,May,2024-05-15,2024-05-16,"Meng-Hao Pan, Kun-Huan Zhang, Si-Le Wu, Zhen-Nan Pan, Ming-Hong Sun, Xiao-Han Li, Jia-Qian Ju, Shi-Ming Luo, Xiang-Hong Ou, Shao-Chen Sun","College of Animal Science and Technology, Nanjing Agricultural University, Nanjing, China.",https://pubmed.ncbi.nlm.nih.gov/38747713/,184.0
7,lncRNA Oip5-as1 inhibits excessive mitochondrial fission in myocardial ischemia/reperfusion injury by modulating DRP1 phosphorylation.,"Aberrant mitochondrial fission, a critical pathological event underlying myocardial ischemia/reperfusion (MI/R) injury, has emerged as a potential therapeutic target. The long non-coding RNA (lncRNA) Oip5-as1 is increasingly recognized for its regulatory roles, particularly in MI/R injury. However, its precise mechanistic role in modulating mitochondrial dynamics remains elusive. This study aims to elucidate the mechanistic role of Oip5-as1 in regulating mitochondrial fission and evaluate its therapeutic potential against MI/R injury. To simulate in vitro MI/R injury, HL-1 cardiomyocytes were subjected to hypoxia/reoxygenation (H/R). Lentiviral vectors were employed to achieve overexpression or knockdown of Oip5-as1 in HL-1 cells by expressing Oip5-as1 or shRNA targeting Oip5-as1, respectively. The impact of Oip5-as1 on mitochondrial dynamics in HL-1 cells was assessed using CCK-8 assay, flow cytometry, immunofluorescence staining, and biochemical assays. MI/R injury was induced in mice by ligating the left anterior descending coronary artery. Conditional knockout mice for Oip5-as1 were generated using the CRISPR/Cas9 genome editing technology, while overexpression of Oip5-as1 in mice was achieved via intramyocardial administration of AAV9 vectors. In mice, the role of Oip5-as1 was evaluated through echocardiographic assessment, histopathological staining, and transmission electron microscopy. Furthermore, Western blotting, RNA pull-down, RNA immunoprecipitation, and co-immunoprecipitation assays were conducted to investigate Oip5-as1's underlying mechanisms. The expression levels of Oip5-as1 are significantly decreased in MI/R-injured HL-1 cells and myocardium. In HL-1 cells undergoing H/R injury, overexpression of Oip5-as1 attenuated excessive mitochondrial fission, preserved mitochondrial functionality, and reduced cellular apoptosis, while knockdown of Oip5-as1 exhibited the opposite effects. Furthermore, in a mouse model of MI/R injury, overexpression of Oip5-as1 diminished mitochondrial fission, myocardial infarct size and improved cardiac function. However, knockout of Oip5-as1 exacerbated myocardial injury and cardiac dysfunction, which were significantly reversed by treatment with a mitochondrial division inhibitor-1 (Mdivi-1). Mechanistically, Oip5-as1 selectively interacts with AKAP1 and CaN proteins, inhibiting CaN activation and subsequent DRP1 dephosphorylation at Ser637, thereby constraining DRP1's translocation to the mitochondria and its involvement in mitochondrial fission. Our study underscores the pivotal role of Oip5-as1 in mitigating excessive mitochondrial fission during MI/R injury. The findings not only enhance our comprehension of the molecular mechanisms underlying MI/R injury but also identify Oip5-as1 as a potential therapeutic target for ameliorating MI/R injury.",Cellular & Molecular Biology Letters,eng,2024,May,2024-05-15,2024-05-14,"Xiaowei Niu, Jingjing Zhang, Shuwen Hu, Wenhui Dang, Kaiwen Wang, Ming Bai","Department of Cardiology, The First Hospital of Lanzhou University, Lanzhou, Gansu, 730000, China.",https://pubmed.ncbi.nlm.nih.gov/38745296/,5.0
8,Exploring the neuroprotective role of artesunate in mouse models of anti-NMDAR encephalitis: insights from molecular mechanisms and transmission electron microscopy.,"The pathway involving PTEN-induced putative kinase 1 (PINK1) and PARKIN plays a crucial role in mitophagy, a process activated by artesunate (ART). We propose that patients with anti-N-methyl-D-aspartate receptor (NMDAR) encephalitis exhibit insufficient mitophagy, and ART enhances mitophagy via the PINK1/PARKIN pathway, thereby providing neuroprotection. Adult female mice aged 8-10 weeks were selected to create a passive transfer model of anti-NMDAR encephalitis. We conducted behavioral tests on these mice within a set timeframe. Techniques such as immunohistochemistry, immunofluorescence, and western blotting were employed to assess markers including PINK1, PARKIN, LC3B, p62, caspase3, and cleaved caspase3. The TUNEL assay was utilized to detect neuronal apoptosis, while transmission electron microscopy (TEM) was used to examine mitochondrial autophagosomes. Primary hippocampal neurons were cultured, treated, and then analyzed through immunofluorescence for mtDNA, mtROS, TMRM. In comparison to the control group, mitophagy levels in the experimental group were not significantly altered, yet there was a notable increase in apoptotic neurons. Furthermore, markers indicative of mitochondrial leakage and damage were found to be elevated in the experimental group compared to the control group, but these markers showed improvement following ART treatment. ART was effective in activating the PINK1/PARKIN pathway, enhancing mitophagy, and diminishing neuronal apoptosis. Behavioral assessments revealed that ART ameliorated symptoms in mice with anti-NMDAR encephalitis in the passive transfer model (PTM). The knockdown of PINK1 led to a reduction in mitophagy levels, and subsequent ART intervention did not alleviate symptoms in the anti-NMDAR encephalitis PTM mice, indicating that ART's therapeutic efficacy is mediated through the activation of the PINK1/PARKIN pathway. At the onset of anti-NMDAR encephalitis, mitochondrial damage is observed; however, this damage is mitigated by the activation of mitophagy via the PINK1/PARKIN pathway. This regulatory feedback mechanism facilitates the removal of damaged mitochondria, prevents neuronal apoptosis, and consequently safeguards neural tissue. ART activates the PINK1/PARKIN pathway to enhance mitophagy, thereby exerting neuroprotective effects and may achieve therapeutic goals in treating anti-NMDAR encephalitis.",Cell Communication And Signaling : Ccs,eng,2024,May,2024-05-15,2024-05-16,"Jingsi Liu, Yingyi Huang, Tinglin Qian, Jinyu Chen, Yuewen Ding, Zhaohui Lai, Xinghua Zhong, Mingjun Lai, Huili Zhang, Yuanyuan Wang, Honghao Wang, Yu Peng","Department of Neurology, Nanfang Hospital, Southern Medical University, Guangzhou, 510515, China.",https://pubmed.ncbi.nlm.nih.gov/38745240/,5.0
9,Astaxanthin-mediated Nrf2 activation ameliorates glucocorticoid-induced oxidative stress and mitochondrial dysfunction and impaired bone formation of glucocorticoid-induced osteonecrosis of the femoral head in rats.,"Osteonecrosis of the femoral head caused by glucocorticoids (GIONFH) is a significant issue resulting from prolonged or excessive clinical glucocorticoid use. Astaxanthin, an orange-red carotenoid present in marine organisms, has been the focus of this study to explore its impact and mechanism on osteoblast apoptosis induced by dexamethasone (Dex) and GIONFH. In this experiment, bioinformatic prediction, molecular docking and dynamics simulation, cytotoxicity assay, osteogenic differentiation, qRT-PCR analysis, terminal uridine nickend labeling (TUNEL) assay, determination of intracellular ROS, mitochondrial function assay, immunofluorescence, GIONFH rat model construction, micro-computed tomography (micro-CT) scans were performed. Our research demonstrated that a low dose of astaxanthin was non-toxic to healthy osteoblasts and restored the osteogenic function of Dex-treated osteoblasts by reducing oxidative stress, mitochondrial dysfunction, and apoptosis. Furthermore, astaxanthin rescued the dysfunction in poor bone quality, bone metabolism and angiogenesis of GIONFH rats. The mechanism behind this involves astaxanthin counteracting Dex-induced osteogenic damage by activating the Nrf2 pathway. Astaxanthin shields osteoblasts from glucocorticoid-induced oxidative stress and mitochondrial dysfunction via Nrf2 pathway activation, making it a potential therapeutic agent for GIONFH treatment.",Journal Of Orthopaedic Surgery And Research,eng,2024,May,2024-05-15,2024-05-14,"Weidan Wang, Hongyi Jiang, Jiachen Yu, Chao Lou, Jian Lin","The Second Affiliated Hospital and Yuying Children's Hospital of Wenzhou Medical University, Wenzhou, 325000, Zhejiang Province, China.",https://pubmed.ncbi.nlm.nih.gov/38745231/,60.0
